config,rpm,AoA,CL,CLvar
f9_v0,200.0,19.0,0.6710306831146394,0.0006705661321211883
f9_v0,200.0,20.0,0.667952558819918,0.0005740231033269791
f9_v0,250.0,-5.0,-0.2486664826817449,5.9539636945901974e-05
f9_v0,250.0,-4.0,-0.18735886501332336,5.895449931950476e-05
f9_v0,250.0,-3.0,-0.1253996234905614,4.559037288491739e-05
f9_v0,250.0,-2.0,-0.0608148724290343,4.5661858379044746e-05
f9_v0,250.0,-1.0,0.0025473263865405616,5.129937031287168e-05
f9_v0,250.0,0.0,0.07046897526278478,3.4760284595295124e-05
f9_v0,250.0,1.0,0.1399199467743479,4.129779223304359e-05
f9_v0,250.0,2.0,0.21368460442999646,4.146596066752635e-05
f9_v0,250.0,3.0,0.286786657411658,5.494379611969931e-05
f9_v0,250.0,4.0,0.36041166973650507,8.106736655217434e-05
f9_v0,250.0,5.0,0.43603057673308643,9.789457175502178e-05
f9_v0,250.0,6.0,0.5015363913420496,0.00012368874742099714
f9_v0,250.0,7.0,0.5653697466803944,0.00013046533957727273
f9_v0,250.0,8.0,0.6258675540592161,0.00015237519323278392
f9_v0,250.0,9.0,0.6813112330605395,0.00011137978272379675
f9_v0,250.0,10.0,0.7293811345173721,0.00013776260635167648
f9_v0,250.0,11.0,0.7765243419724367,0.00013165313850535488
f9_v0,250.0,12.0,0.8221467128865664,0.00013984081863900214
f9_v0,250.0,13.0,0.7943297497148543,0.007204861066667206
f9_v0,250.0,14.0,0.7890751010730672,0.01770486147274047
f9_v0,250.0,15.0,0.8007001607266572,0.02308735545265009
f9_v0,250.0,16.0,0.7258947649508651,0.004890870906072094
f9_v0,250.0,17.0,0.6656517702891246,0.000720582319103337
f9_v0,250.0,18.0,0.661212574545109,0.0007629757769360513
f9_v0,250.0,19.0,0.6525704154810622,0.0004917640480685429
f9_v0,250.0,20.0,0.6418540618620242,0.0003250790872126975
f9_v0,300.0,-5.0,-0.25641322315715354,8.486007425578698e-05
f9_v0,300.0,-4.0,-0.18923281266798908,7.009785381312275e-05
f9_v0,300.0,-3.0,-0.13156439628374678,7.09180676743011e-05
f9_v0,300.0,-2.0,-0.07032043974712648,8.458465493917879e-05
f9_v0,300.0,-1.0,-0.01051207001116085,0.00010833615553283706
f9_v0,300.0,0.0,0.05527304265608272,0.00011378827564213069
f9_v0,300.0,1.0,0.12671859654157985,0.00013922014056232007
f9_v0,300.0,2.0,0.19391628215946927,0.00016785061871272877
f9_v0,300.0,3.0,0.26063236944094137,0.00019417489773647088
f9_v0,300.0,4.0,0.32142675863523895,0.00019068893803456265
f9_v0,300.0,5.0,0.3897057573540344,0.00020508704872166834
f9_v0,300.0,6.0,0.44796757019737155,0.00022780113583965335
f9_v0,300.0,7.0,0.5090919542197317,0.00023194787058598067
f9_v0,300.0,8.0,0.5633784563839384,0.0002528947870501844
f9_v0,300.0,9.0,0.6203664295032997,0.0002465837679295413
f9_v0,300.0,10.0,0.6716204488039726,0.00023471707474837118
f9_v0,300.0,11.0,0.7149810377751958,0.00021196882107194344
f9_v0,300.0,12.0,0.7537397556435339,0.00022707158923462422
f9_v0,300.0,13.0,0.7958678553730821,0.00023978115884981817
f9_v0,300.0,14.0,0.778962122207492,0.006138426912489876
f9_v0,300.0,15.0,0.807377165548741,0.00779063593389906
f9_v0,300.0,16.0,0.774709184744701,0.006905759823685933
f9_v0,300.0,17.0,0.6418667897045633,0.0010218115936032448
f9_v0,300.0,18.0,0.6178907766768947,0.0004116912300826667
f9_v0,300.0,19.0,0.6218132859789934,0.0003223899491026891
f9_v0,300.0,20.0,0.6246027129300825,0.00025729698367021805
f9_v15,300.0,-5.0,-0.2353506608709692,0.0001886825619852921
f9_v15,300.0,-4.0,-0.1766726880363611,0.00016271563428432004
f9_v15,300.0,-3.0,-0.11868810789490343,0.00012080902929941988
f9_v15,300.0,-2.0,-0.0543753723652518,0.00012529365059070577
f9_v15,300.0,-1.0,0.01069752705066616,0.00018674732498300038
f9_v15,300.0,0.0,0.07710030388022089,0.00028174097380625845
f9_v15,300.0,1.0,0.14485394191694048,0.0005056754918846064
f9_v15,300.0,2.0,0.20970160754577216,0.0005314210021470367
f9_v15,300.0,3.0,0.2710674259401811,0.0006849016414678806
f9_v15,300.0,4.0,0.33354249319962387,0.000876161209174335
f9_v15,300.0,5.0,0.39932505018001196,0.000956175310886076
f9_v15,300.0,6.0,0.46292485480233414,0.0009676906138997639
f9_v15,300.0,7.0,0.5228141544436895,0.0011070421645670966
f9_v15,300.0,8.0,0.5821788875630535,0.001165431475755184
f9_v15,300.0,9.0,0.6373867884856488,0.0009103912234856473
f9_v15,300.0,10.0,0.6889027383734271,0.0007698372945565271
f9_v15,300.0,11.0,0.7336953724338999,0.0005686004366473748
f9_v15,300.0,12.0,0.7683168510404808,0.00046599649807496174
f9_v15,300.0,13.0,0.8074835122594117,0.0005922147228457576
f9_v15,300.0,14.0,0.8013757686395815,0.005875629538860911
f9_v15,300.0,15.0,0.7873096208892445,0.016859048767692484
f9_v15,300.0,16.0,0.7138215136303708,0.0051678406510134575
f9_v15,300.0,17.0,0.7143679491976854,0.007288929198717865
f9_v15,300.0,18.0,0.6405561714334539,0.0005223883901772678
f9_v15,300.0,19.0,0.6459266167939316,0.0005054690198690132
f9_v15,300.0,20.0,0.6415104568790155,0.0003154441412882111
f9_v2,300.0,-5.0,-0.23286531499020438,0.00023798658917818054
f9_v2,300.0,-4.0,-0.1738026986755766,0.00018960996729118723
f9_v2,300.0,-3.0,-0.11541695505868288,0.00016114065276332727
f9_v2,300.0,-2.0,-0.05187837266036985,0.00021726588096832567
f9_v2,300.0,-1.0,0.013358308373928218,0.00027914758198397044
f9_v2,300.0,0.0,0.08167524889714284,0.00040874049444620197
f9_v2,300.0,1.0,0.1496670784560868,0.0006603749340867512
f9_v2,300.0,2.0,0.21804956749949989,0.0007640772487569864
f9_v2,300.0,3.0,0.2817639243898272,0.0010747050604156037
f9_v2,300.0,4.0,0.3486839340079192,0.0014138956748390766
f9_v2,300.0,5.0,0.4206933185978148,0.0016471794964133828
f9_v2,300.0,6.0,0.4877795811080116,0.001946750252005813
f9_v2,300.0,7.0,0.5479782281778796,0.002203643277709341
f9_v2,300.0,8.0,0.6094097314320583,0.0025062865709304864
f9_v2,300.0,9.0,0.667373572135997,0.002503789964786233
f9_v2,300.0,10.0,0.7226188745596062,0.0025079556142194926
f9_v2,300.0,11.0,0.7731615924212968,0.002574718210531947
f9_v2,300.0,12.0,0.816019012924456,0.0030635942224942394
f9_v2,300.0,13.0,0.8613217895151528,0.0033897894120269705
f9_v2,300.0,14.0,0.8566505689745589,0.012495797925878507
f9_v2,300.0,15.0,0.8265159068861484,0.028043725591511495
f9_v2,300.0,16.0,0.7452661599213518,0.009166973470080766
f9_v2,300.0,17.0,0.7014703053344272,0.008739221571184242
f9_v2,300.0,18.0,0.6502833436172445,0.0004704069988842113
f9_v2,300.0,19.0,0.6467314000839486,0.00028005013734702953
f9_v2,300.0,20.0,0.6501209491982102,0.00027632920411311954
f9_v3,200.0,-5.0,-0.21323501050528468,8.356429435893415e-05
f9_v3,200.0,-4.0,-0.15290478095709814,4.141476443448442e-05
f9_v3,200.0,-3.0,-0.09660919588061614,2.986409711972458e-05
f9_v3,200.0,-2.0,-0.036267782349603477,4.2560971844301925e-05
f9_v3,200.0,-1.0,0.026338758719864394,3.5357271510649034e-05
f9_v3,200.0,0.0,0.09356374431562023,3.4376203591845196e-05
f9_v3,200.0,1.0,0.16544780997358036,3.598050023855805e-05
f9_v3,200.0,2.0,0.23819603563120686,4.689648539388366e-05
f9_v3,200.0,3.0,0.31270996225628006,5.511256465493638e-05
f9_v3,200.0,4.0,0.3868617788697387,5.827505390722265e-05
f9_v3,200.0,5.0,0.46712670187044014,5.001028956088759e-05
f9_v3,200.0,6.0,0.5408709400022635,5.6444900287627214e-05
f9_v3,200.0,7.0,0.610980809626625,4.784008374189736e-05
f9_v3,200.0,8.0,0.6778480522572736,6.0786494188726464e-05
f9_v3,200.0,9.0,0.7383912458231671,2.4185216355665046e-05
f9_v3,200.0,10.0,0.7943854682526552,3.961801780814937e-05
f9_v3,200.0,11.0,0.8464989745601564,1.869285807832912e-05
f9_v3,200.0,12.0,0.8019778462244929,0.008298469108182866
f9_v3,200.0,13.0,0.8122459561979475,0.01194802888352192
f9_v3,200.0,14.0,0.6414116708054881,0.00043711189799424446
f9_v3,200.0,15.0,0.6489817835806209,0.0004426496775829504
f9_v3,200.0,16.0,0.6514714699111173,0.00047486127337415494
f9_v3,200.0,17.0,0.6499048154787831,0.00047198974253823996
f9_v3,200.0,18.0,0.6465287099982602,0.00040514857805463186
f9_v3,200.0,19.0,0.6493630998361757,0.00035924142635242087
