config,rpm,AoA,LD,LDvar
f9_v15,300.0,10.0,6.509425481793789,0.0881206884337465
f9_v15,300.0,11.0,6.529150566997242,0.06475737755513966
f9_v15,300.0,12.0,6.398094151930076,0.04460505265025957
f9_v15,300.0,13.0,6.284784229588891,0.0453946529997824
f9_v15,300.0,14.0,5.214051893159616,1.1235100820957191
f9_v15,300.0,15.0,4.570032462387754,2.1868138923864007
f9_v15,300.0,16.0,3.2879622561811175,0.27855761860988915
f9_v15,300.0,17.0,3.06469260751307,0.3257896722133607
f9_v15,300.0,18.0,2.3869383152110446,0.005042502340519806
f9_v15,300.0,19.0,2.2778861461880893,0.0037890909306740224
f9_v15,300.0,20.0,2.1687791860143744,0.0022313950098406363
f9_v2,300.0,-5.0,-2.650238405642242,0.028572048234726186
f9_v2,300.0,-4.0,-2.0487648317352884,0.023033368275831027
f9_v2,300.0,-3.0,-1.4671031701551092,0.020971133739714248
f9_v2,300.0,-2.0,-0.6948837316598221,0.03459346060833667
f9_v2,300.0,-1.0,0.1889574168012476,0.05419380049725231
f9_v2,300.0,0.0,1.1440977825340324,0.092656346017485
f9_v2,300.0,1.0,2.075708726894417,0.16679256378718868
f9_v2,300.0,2.0,2.9537993783265324,0.19590563225299532
f9_v2,300.0,3.0,3.6794378750895347,0.267551774762462
f9_v2,300.0,4.0,4.382842775035184,0.3343006019845399
f9_v2,300.0,5.0,5.092536863711262,0.3665867686234274
f9_v2,300.0,6.0,5.676122640645171,0.39034154426483453
f9_v2,300.0,7.0,6.087861611411755,0.3890378729471297
f9_v2,300.0,8.0,6.463412256547468,0.36377717886582117
f9_v2,300.0,9.0,6.702493873906399,0.2723483193985065
f9_v2,300.0,10.0,6.816999401576583,0.19596733713054015
f9_v2,300.0,11.0,6.8352066324406255,0.14476103140619045
f9_v2,300.0,12.0,6.724960237918008,0.11923713112934016
f9_v2,300.0,13.0,6.588294537006985,0.10223935792561926
f9_v2,300.0,14.0,5.495341702522868,1.5679740729262956
f9_v2,300.0,15.0,4.73801902206876,2.843662288789156
f9_v2,300.0,16.0,3.335943062764272,0.33499794515827946
f9_v2,300.0,17.0,2.830969958708655,0.2629811632099605
f9_v2,300.0,18.0,2.399734475412089,0.003737018947124909
f9_v2,300.0,19.0,2.280800634383007,0.002443274882035938
f9_v2,300.0,20.0,2.1821027672758713,0.0013558168636654026
f9_v3,200.0,-5.0,-2.0991626536749797,0.14583213278151105
f9_v3,200.0,-4.0,-1.6084447825183859,0.09107019840936645
f9_v3,200.0,-3.0,-1.0617445508989167,0.038777267156485586
f9_v3,200.0,-2.0,-0.41000161909149857,0.011408308013345393
f9_v3,200.0,-1.0,0.2957119027982008,0.006446907265459261
f9_v3,200.0,0.0,1.0388431247715215,0.029030052124630234
f9_v3,200.0,1.0,1.822022584349941,0.08056489556965374
f9_v3,200.0,2.0,2.5150756613653864,0.14282431467079457
f9_v3,200.0,3.0,3.1464485411675986,0.19444386319928156
f9_v3,200.0,4.0,3.6889391954736945,0.2228348479328433
f9_v3,200.0,5.0,4.287115621358024,0.2528071247690613
f9_v3,200.0,6.0,4.809851159903567,0.309710511487449
f9_v3,200.0,7.0,5.104895882582277,0.26875680925776047
f9_v3,200.0,8.0,5.282021047227414,0.2353402507891196
f9_v3,200.0,9.0,5.398380181831208,0.18296541671867314
f9_v3,200.0,10.0,5.4307239254736475,0.16331075646684495
f9_v3,200.0,11.0,5.427723160392044,0.12491665751589973
f9_v3,200.0,12.0,4.397883084448738,1.3066253044917644
f9_v3,200.0,13.0,4.119582622583417,1.3718257484198857
f9_v3,200.0,14.0,2.4480206402678557,0.011370817859560641
f9_v3,200.0,15.0,2.323346746450366,0.008331009959832278
f9_v3,200.0,16.0,2.20995134213199,0.006848073486699234
f9_v3,200.0,17.0,2.1017946149108915,0.005372043336477575
f9_v3,200.0,18.0,2.00797798035983,0.004092827947836203
f9_v3,200.0,19.0,1.9282178188596841,0.00401824268532132
f9_v3,200.0,20.0,1.8586754358075124,0.0030451756005475143
f9_v3,250.0,-5.0,-2.318824024852434,0.04728878302062667
f9_v3,250.0,-4.0,-1.7640478809909685,0.026941850502387506
f9_v3,250.0,-3.0,-1.1767138474602121,0.014656799766423924
f9_v3,250.0,-2.0,-0.4633872249646949,0.008295476530240643
f9_v3,250.0,-1.0,0.27982122158118167,0.010825067945777063
f9_v3,250.0,0.0,1.1087358193482129,0.0186975492625587
f9_v3,250.0,1.0,1.9605627180240321,0.035353836802788696
f9_v3,250.0,2.0,2.7632777792767933,0.06622787424302697
f9_v3,250.0,3.0,3.506683407837936,0.09146629848667776
f9_v3,250.0,4.0,4.183545983058102,0.10515853693302626
f9_v3,250.0,5.0,4.856820674571622,0.11266854242163214
f9_v3,250.0,6.0,5.277938407509003,0.1314674397738474
f9_v3,250.0,7.0,5.626213750559175,0.12215758428832282
f9_v3,250.0,8.0,5.830666662739949,0.11734644043050443
f9_v3,250.0,9.0,5.9477980344642525,0.0913003258499632
f9_v3,250.0,10.0,5.9925944875236015,0.08601519157970079
f9_v3,250.0,11.0,5.969817683164358,0.0710070558595926
f9_v3,250.0,12.0,5.414781079106756,0.868758160052626
f9_v3,250.0,13.0,4.637965431737166,1.4923422246054105
f9_v3,250.0,14.0,4.471396073776846,1.385665216814989
f9_v3,250.0,15.0,3.9124935044735074,1.7912566584082377
f9_v3,250.0,16.0,2.392146652856758,0.006048239574598003
f9_v3,250.0,17.0,2.2639016226480653,0.004653260136668198
f9_v3,250.0,18.0,2.15164019362148,0.003718317300263572
f9_v3,250.0,19.0,2.0527824126858185,0.002827285422867558
f9_v3,250.0,20.0,1.9707410061868627,0.0022695920334503132
f9_v3,300.0,-5.0,-2.9901063597671125,0.032463475658793685
f9_v3,300.0,-4.0,-2.189492590524319,0.02254278935720308
f9_v3,300.0,-3.0,-1.5090641008692307,0.020980388179522132
f9_v3,300.0,-2.0,-0.6757674549338758,0.020641190602125808
f9_v3,300.0,-1.0,0.3412611301416977,0.02243521055941172
f9_v3,300.0,0.0,1.3439083165198287,0.027582695571179514
f9_v3,300.0,1.0,2.384155607655141,0.0368855534138075
f9_v3,300.0,2.0,3.3085706803430632,0.04134734658876009
f9_v3,300.0,3.0,4.08778406267823,0.03683161327706213
f9_v3,300.0,4.0,4.671115393167211,0.0353179404136652
f9_v3,300.0,5.0,5.3100375546387255,0.03888635368733221
f9_v3,300.0,6.0,5.673111576917113,0.03681515989516581
f9_v3,300.0,7.0,5.994420233875435,0.0361261706499146
f9_v3,300.0,8.0,6.187487728121216,0.02996348894249071
f9_v3,300.0,9.0,6.299757184140075,0.02957737631034571
f9_v3,300.0,10.0,6.311278096245372,0.024601913766690502
f9_v3,300.0,11.0,6.223771055122938,0.02039417763384689
f9_v3,300.0,12.0,6.090586373853041,0.015829024367925555
f9_v3,300.0,13.0,5.486636502813932,0.6814978103680884
f9_v3,300.0,14.0,4.647071613335563,1.2144796879287656
f9_v3,300.0,15.0,4.151937636096198,1.621674417358063
f9_v3,300.0,16.0,3.0195446154077135,0.22621806600946198
f9_v3,300.0,17.0,2.6249140257537316,0.16006441599128493
f9_v3,300.0,18.0,2.270455187240598,0.002959325856677173
f9_v3,300.0,19.0,2.1633634257372756,0.0023878694361615443
f9_v3,300.0,20.0,2.068919404263576,0.001673274137431723
plate,200.0,-5.0,-0.9999090193268183,0.070580008182638
plate,200.0,-4.0,-0.013281771807687078,0.003717533402295158
plate,200.0,-3.0,0.4604223026811848,0.008056586166140833
plate,200.0,-2.0,0.9069189373371295,0.01629602379162995
plate,200.0,-1.0,1.7699462978341338,0.07188683875444561
