config,rpm,AoA,CD,CDvar
f9_v0,300.0,15.0,0.18222946455166938,0.00032454403159132874
f9_v0,300.0,16.0,0.21323187592642406,0.0005263933483325521
f9_v0,300.0,17.0,0.2597480464081952,0.00023459059579290485
f9_v0,300.0,18.0,0.27724670943272256,8.957822650919924e-05
f9_v0,300.0,19.0,0.2927214918076877,8.53527040398757e-05
f9_v0,300.0,20.0,0.30668007473091524,6.759977880289941e-05
f9_v15,300.0,-5.0,0.08909502107088758,1.7658538217343353e-05
f9_v15,300.0,-4.0,0.08575274952280075,1.4481860544645114e-05
f9_v15,300.0,-3.0,0.07957200925485075,1.2704887948426906e-05
f9_v15,300.0,-2.0,0.07531722477706426,1.2566183227314671e-05
f9_v15,300.0,-1.0,0.07327134694128368,1.2944255652931843e-05
f9_v15,300.0,0.0,0.07248481960519111,1.1511732560159688e-05
f9_v15,300.0,1.0,0.07325868752470575,1.2725270916709764e-05
f9_v15,300.0,2.0,0.07506104077982984,1.1753923566395332e-05
f9_v15,300.0,3.0,0.07783964151962226,1.2504948205357364e-05
f9_v15,300.0,4.0,0.08092503522775839,1.2771519182060093e-05
f9_v15,300.0,5.0,0.08381731203846678,1.2214434956977542e-05
f9_v15,300.0,6.0,0.08732359839497232,1.2726868225128793e-05
f9_v15,300.0,7.0,0.09129714887632971,1.1823180823233657e-05
f9_v15,300.0,8.0,0.0953882243971648,1.1544195129682325e-05
f9_v15,300.0,9.0,0.10030028725403514,1.2553113061996968e-05
f9_v15,300.0,10.0,0.10591772425052798,1.335359597358722e-05
f9_v15,300.0,11.0,0.11245520449133996,1.2983963131536489e-05
f9_v15,300.0,12.0,0.12016552958489246,1.519071953070248e-05
f9_v15,300.0,13.0,0.12855511021728708,1.493724396495701e-05
f9_v15,300.0,14.0,0.1573300950351715,0.00033417594103254435
f9_v15,300.0,15.0,0.18241764499777502,0.0010140230447901837
f9_v15,300.0,16.0,0.21940417109893795,0.000253898851180086
f9_v15,300.0,17.0,0.23614584710394032,0.00030255334261981945
