config,rpm,AoA,Cm,Cmvar
f9_v0,200.0,0.0,-0.01722123940964778,2.4490375406799425e-05
f9_v0,200.0,1.0,-0.021963217933665197,2.2317627410407604e-05
f9_v0,200.0,2.0,-0.025444426956766693,2.016275304896197e-05
f9_v0,200.0,3.0,-0.027462108746461905,1.6483893354762095e-05
f9_v0,200.0,4.0,-0.030228864835480863,1.0102665299069658e-05
f9_v0,200.0,5.0,-0.03221872717106383,9.712197543726256e-06
f9_v0,200.0,6.0,-0.03297410611219222,9.70617647359504e-06
f9_v0,200.0,7.0,-0.034632446514450195,1.210761736518742e-05
f9_v0,200.0,8.0,-0.03661526908989144,1.4304132362661761e-05
f9_v0,200.0,9.0,-0.03798431120098086,1.5181366308032165e-05
f9_v0,200.0,10.0,-0.03958717808080027,1.5215961654440118e-05
f9_v0,200.0,11.0,-0.04147838566110111,1.2197731147577918e-05
f9_v0,200.0,12.0,-0.06282531775331077,0.00034307767010098263
f9_v0,200.0,13.0,-0.06904953443423453,0.0005613817362252863
f9_v0,200.0,14.0,-0.0791371354214631,0.0010097421436968165
f9_v0,200.0,15.0,-0.11696902577540476,0.0001438901819278024
f9_v0,200.0,16.0,-0.1278212070679947,3.6912215714588114e-05
f9_v0,200.0,17.0,-0.13175609386662407,4.60052808575162e-05
f9_v0,200.0,18.0,-0.1345086334638893,4.394209197602051e-05
f9_v0,200.0,19.0,-0.13395319803507671,3.851443042238382e-05
f9_v0,200.0,20.0,-0.1343154641695773,3.6080619400346335e-05
f9_v0,250.0,-5.0,-0.011881808404648406,2.3476537096595165e-05
f9_v0,250.0,-4.0,0.0015938596080869608,1.896142551263373e-05
f9_v0,250.0,-3.0,-0.002628823228989653,1.611567724802985e-05
f9_v0,250.0,-2.0,-0.007666388853033795,1.4247416892106278e-05
f9_v0,250.0,-1.0,-0.011578668172169791,1.2995518483594244e-05
f9_v0,250.0,0.0,-0.017300441133269548,1.1795643273381378e-05
f9_v0,250.0,1.0,-0.021504121532631797,1.1548177399438062e-05
f9_v0,250.0,2.0,-0.023755622332974114,9.60353465558751e-06
f9_v0,250.0,3.0,-0.024875317355392564,7.053236980276791e-06
f9_v0,250.0,4.0,-0.026206164010133346,6.237240417651105e-06
f9_v0,250.0,5.0,-0.027651372682078543,7.613540800404497e-06
f9_v0,250.0,6.0,-0.029289483526673085,1.0983337493140562e-05
f9_v0,250.0,7.0,-0.03041995555592943,1.187469086391197e-05
f9_v0,250.0,8.0,-0.03172121961279201,1.3794964902031973e-05
f9_v0,250.0,9.0,-0.03305115557936424,1.5058159528455591e-05
f9_v0,250.0,10.0,-0.03504188321716307,1.5216184283973121e-05
f9_v0,250.0,11.0,-0.037863790896110534,1.5544810829436727e-05
f9_v0,250.0,12.0,-0.03992663202264551,1.2558573671946009e-05
f9_v0,250.0,13.0,-0.06171290565618307,0.00034214089481687847
f9_v0,250.0,14.0,-0.07423056500736304,0.0008344045748240095
f9_v0,250.0,15.0,-0.07744899571449089,0.0009187876856484483
f9_v0,250.0,16.0,-0.1013277318735571,0.00024089834585397116
f9_v0,250.0,17.0,-0.1250693688758145,4.056527296505358e-05
f9_v0,250.0,18.0,-0.12942867539592356,4.363315795371188e-05
f9_v0,250.0,19.0,-0.13002380383431061,2.5498934700266512e-05
f9_v0,250.0,20.0,-0.13022065421963858,1.5316062652794262e-05
f9_v0,300.0,-5.0,-0.038121361956216085,2.6555152227803644e-06
f9_v0,300.0,-4.0,-0.01779273443459353,2.086756555318378e-06
f9_v0,300.0,-3.0,-0.012501681323520917,1.942555549919717e-06
f9_v0,300.0,-2.0,-0.01553742260863733,2.2574797341664923e-06
f9_v0,300.0,-1.0,-0.020752148163153142,3.4536659020436284e-06
f9_v0,300.0,0.0,-0.02461774568314455,1.5899660237395795e-06
